"","Glacier","Pb210","Cs137","Am241","Am_241_h","OM","ID","Code","Lat","Lon","Average_altitude","Max_altitude","Size_kmq","Year_estimation","Estimation_source","Remarks","sum_62","sum_63","sum_64","prec_GLF","prec_CHB"
"1","Aletsch",3592.9631146,401.513774178,NA,0.1107918772,10.4890253939086,6,"FLE",46.4421879965812,8.08481901884079,3073,4128,83.3765,2015,"GLIMS",NA,896.800004959106,850.000001907349,796.800003051758,2543.60000991821,114.400001525879
"2","Blanc",3845.446,2982.304,26.0022222222222,23.8813125783,5.82404301795052,17,"BLA",44.94605,6.39685,3233,4054,4.70015,2015,"GLIMS",NA,1128.79999923706,1156.39999771118,1030.70000076294,3315.89999771118,96
"3","Cedech",2115.076,1424.067,19.0514285714286,14.279416060615,5.6862065741193,1,"CED",46.4496,10.5983,3322,3720,2.04,2016,"GLIMS",NA,831.400009155273,796.600006103516,751.000005722046,2379.00002098083,75
"4","de Moiry",3028.35371501952,1702.71310096355,40.1919086394718,24.9734013846831,8.3578145426797,12,"MOI",46.088500013575,7.58884001523256,3226,3659,4.04194,2015,"GLIMS",NA,768.999998092651,747.200002670288,685.799999237061,2202,87
"5","de Pièce",6380.91206465656,3075.77379439537,27.5839256948248,17.9247293976949,9.07429043941064,14,"PIE",46.000850033015,7.47012200765312,2975,3678,1.14181,2015,"GLIMS",NA,1107.00001907349,1083.00001144409,990.300012588501,3180.30004310608,125.099998474121
"6","Dosde",10652.086,4807.659,42.415,42.415,12.7822071434829,2,"DOS",46.39332,10.21615,2861,3221,0.588919,2016,"GLIMS",NA,635.899993896484,617.399993896484,586.699995040894,1839.99998283386,68.9000015258789
"7","Ebenferner",10968.2256702,1699.6922528,NA,4.8359324882,14.012,10,"STE",46.5151839796454,10.461585028097,3109,3452,3.40185,2016,"GLIMS","alt. Name: Madaccio",676.899988174438,646.899988174438,616.599989891052,1940.39996623993,70.0999984741211
"8","Forni",5420.171,184.900331336,NA,2.5027424184,10.2414728551437,9,"FOR",46.39767,10.58773,3153,3663,10.5015,2016,"GLIMS",NA,783.100006103516,753.100006103516,709.200006484985,2245.40001869202,71.6999969482422
"9","Forno",3477.8581693638,46.2882406935339,NA,0.1669810933,5.71262935154322,4,"FON",46.323,9.7,2766,3289,4.94605,2016,"GLIMS",NA,841,810.599998474121,770.999998092651,2422.59999656677,95.1999969482422
"10","Lang",661.00731942,310.3314922,11.96025944,3.691076963,1.70449376781016,11,"LAN",46.4578687,7.9321592,3278,3491,8.00894,2015,"GLIMS",NA,669.099996566772,628.399991989136,585.199993133545,1882.69998168945,72
"11","Mittelberg",4530.14572555635,1294.30527418828,NA,0.7227064531,9.97005990219137,15,"MIT",46.919094985351,10.8956950251013,3117,3390,8.06007,2015,"GLIMS",NA,1039.79999732971,978.599996566772,941.199995040894,2959.59998893738,113.900001525879
"12","Mont Miné",5950.729,3819.959,17.665,7.2630697135,16.5047211594734,16,"FER",46.02839,7.57203,3203,3659,8.69123,2015,"GLIMS",NA,696.999990463257,682.099988937378,624.199992179871,2003.29997158051,77.9000015258789
"13","Morteratsch",3325.3598859197,580.753648392133,18.9122046458833,7.25443107997666,7.09607827086959,3,"MOR",46.4169779978693,9.93298701010644,3079,3985,14.5926,2015,"GLIMS",NA,725.100009918213,697.100009918213,668.400008201599,2090.60002803802,89.3000030517578
"14","Oberaar",2364.855,36.262,NA,0.61072448986,4.44722686867494,13,"OBE",46.5359420143068,8.2229230273515,3186,3382,4.22766,2015,"GLIMS",NA,915.400001525879,861.900001525879,810.39999961853,2587.70000267029,113.300003051758
"15","Pasterze",1555.84672204521,238.713089181302,NA,0.37060658885,3.52644134427333,19,"PAS",47.08669,12.72356,2914,3495,16.1652,2016,"GLIMS",NA,1767.80001831055,1678.1000213623,1617.40001869202,5063.30005836487,154
"16","Pers",4964.64607014322,3399.24976643786,39.8443918766906,25.6962990478143,7.37,8,"PER",46.4070880226791,9.95912798680365,2900,3903,6.4,2022,"Goole Earth ScottiR.","RS: rought aproximation",819.799995422363,787.599994659424,746.799993515015,2354.1999835968,82.5999984741211
"17","Preda Rossa",2269.9456622,802.29154096,20.25968805,4.9315938143,3.49114244422291,18,"PRE",46.26062,9.73915,3040,3443,0.4755,2016,"GLIMS",NA,794.699993133545,769.999996185303,731.099996566772,2295.79998588562,93.9000015258789
"18","Rhone",6121.08474431767,325.623811256315,NA,0.2949491707,11.9102420357035,5,"BEL",46.584459990263,8.38981300592422,2969,3610,14.175,2015,"GLIMS",NA,947.700002670288,883.599996566772,834.89999961853,2666.19999885559,108.5
"19","Ventina",7237.42165890549,5785.06115674661,36.6292876530586,33.2506743691028,10.2081008486596,7,"VEN",46.2759959790856,9.78017502464354,2813,3532,1.70742,2016,"GLIMS",NA,780.199995040894,757.39999961853,719.599998474121,2257.19999313354,93.3000030517578
